"","pageTitle","pageviews"
"5500","Sarah Jamo | Department of Athletics | University of Southern Maine",97
"5501","Taking Effective Notes | Academic Gains through Improved Learning Effectiveness (AGILE) | University of Southern Maine",97
"5502","USM alumnus Frank Clark will serve as Portland’s new police chief. | Office of Public Affairs | University of Southern Maine",97
"5503","USM ART Open Studios | USM Art Department | University of Southern Maine",97
"5504","USM's Educational Partnerships | Office of the Provost | University of Southern Maine",97
"5505","""When Venus Transits the Sun"" Omni dome show | Planetarium | University of Southern Maine",96
"5506","10th Annual Patient Safety Academy | Muskie School of Public Service | University of Southern Maine",96
"5507","2019 Homecoming & Family Weekend | Student Activities & Involvement | University of Southern Maine",96
"5508","2019 UFWH Summit: Resources | Food Studies Program | University of Southern Maine",96
"5509","A yearning for balance — visiting artist George C. Longfish’s art prompts questions | Office of Public Affairs | University of Southern Maine",96
"5510","Armanda Liedke | Extended Teacher Education Program (ETEP) | University of Southern Maine",96
"5511","Beyond Maine -- global adventures in learning | Office of Public Affairs | University of Southern Maine",96
"5512","Blackwood Family Scholarship | Scholarships | University of Southern Maine",96
"5513","Boys' Lacrosse Day Camp | Athletic Department Sports Camps & Clinics | University of Southern Maine",96
"5514","Cheryl Laz PhD | Food Studies Program | University of Southern Maine",96
"5515","Degree Planning 2016-17 | Advising | University of Southern Maine",96
"5516","Frequently Asked Questions | Accelerated Graduate Pathways | University of Southern Maine",96
"5517","Graduate Assistant Meet & Greet | Graduate Studies | University of Southern Maine",96
"5518","Holocaust survivor shares stories with sold-out USM crowd | Office of Public Affairs | University of Southern Maine",96
"5519","Information Request | Department of Analysis, Applications, and Institutional Research | University of Southern Maine",96
"5520","Jon Doré | Sustainability at USM | University of Southern Maine",96
"5521","Kristi Hertlein, M.S. | Office for Prior Learning Assessment | University of Southern Maine",96
"5522","Laser Perseus and Andromeda (followed by Laseropolis) | Planetarium | University of Southern Maine",96
"5523","Limited Hours of Operation for Mail Services | Mail Services | University of Southern Maine",96
"5524","Mary Anne Peabody | Lewiston-Auburn College | University of Southern Maine",96
"5525","Mildred A. Roche Nursing Scholarship | Scholarships | University of Southern Maine",96
"5526","Nathan Broaddus | Cutler Institute | University of Southern Maine",96
"5527","Renowned concussion expert says USM made him a better researcher and clinician | Office of Public Affairs | University of Southern Maine",96
"5528","Spring Semester Holidays | Senior College at USM Lewiston-Auburn College | University of Southern Maine",96
"5529","Travel - Language and Culture in Italy | Office of International Programs | University of Southern Maine",96
"5530","Use a Virtual Space | Learning Commons | University of Southern Maine",96
"5531","USM Gorham Orchard | Sustainability at USM | University of Southern Maine",96
"5532","Veterans Student Organization - Husky Vets | Veterans Services | University of Southern Maine",96
"5533","2nd Annual USM Research & Scholarship Symposium | Cutler Institute | University of Southern Maine",95
"5534","A Message from Stonecoast in Ireland Coordinator Ted Deppe | Stonecoast MFA in Creative Writing | University of Southern Maine",95
"5535","Advising Information | Tourism and Hospitality | University of Southern Maine",95
"5536","Alexander Lapidus | School of Education and Human Development | University of Southern Maine",95
"5537","Anna Rockwell | English for Speakers of Other Languages (ESOL) | University of Southern Maine",95
"5538","Attending USM for the Master’s in Occupational Therapy program was the best academic decision I could have made... | Occupational Therapy | University of Southern Maine",95
"5539","Battalion Newsletters | University of Southern Maine Army ROTC | University of Southern Maine",95
"5540","Course List | Law Cluster | University of Southern Maine",95
"5541","Cutler Institute awarded $116k Susan Harwood Training Grant from OSHA | Office of Public Affairs | University of Southern Maine",95
"5542","Dennis Gilbert | Food Studies Program | University of Southern Maine",95
"5543","Elizabeth Dodge | Department of English | University of Southern Maine",95
"5544","Events | Stonecoast MFA in Creative Writing | University of Southern Maine",95
"5545","Gorham Campus Tour and Information Session | Office of Admissions | University of Southern Maine",95
"5546","John Sanders | School of Business | University of Southern Maine",95
"5547","Kimberly Howrigan, 2019 Featured Graduate | Office of Public Affairs | University of Southern Maine",95
"5548","Kristina Catomeris | Service-Learning & Volunteering | University of Southern Maine",95
"5549","Meet Amy Carrington, our new Internship Coordinator! | Food Studies Program | University of Southern Maine",95
"5550","Michael Connell | Department of Recreation and Leisure Studies | University of Southern Maine",95
"5551","News | School of Social Work | University of Southern Maine",95
"5552","Opening Reception: George Longfish: Indian on Indian | USM Art Galleries Gorham and Portland | University of Southern Maine",95
"5553","Public Relations Courses | Communication and Media Studies Department | University of Southern Maine",95
"5554","Sandi Croft | LAC's Career Planning and Internship Advantage | University of Southern Maine",95
"5555","State Capital Center | Muskie School of Public Service | University of Southern Maine",95
"5556","The University | Office of Registration & Scheduling Services | University of Southern Maine",95
"5557","Tom Coash | Stonecoast MFA in Creative Writing | University of Southern Maine",95
"5558","Travel Health | University Health and Counseling Services | University of Southern Maine",95
"5559","USM Announces Dean's List for the 2015 Fall Semester | Office of Public Affairs | University of Southern Maine",95
"5560","USM Student, Michael Libby speaks to the loss of his three siblings over the years to drug- and alcohol-related deaths, through his artwork | Recovery Oriented Campus Center | University of Southern Maine",95
"5561","USM Theatre students ""a pure joy to watch"" in ""Fortune"" - Portland Press Herald review | Office of Public Affairs | University of Southern Maine",95
"5562","Visa Information | Office of International Programs | University of Southern Maine",95
"5563","2018 NEASC Accreditation Progress Report and Acceptance | NECHE Accreditation | University of Southern Maine",94
"5564","A. Carolla Haglund '51 Scholarship | Scholarships | University of Southern Maine",94
"5565","Activate Your PhotoShelter Account | University of Southern Maine Photo Library",94
"5566","BS in Cybersecurity | Department of Technology | University of Southern Maine",94
"5567","Clothing Sizes | University Store | University of Southern Maine",94
"5568","Continuing Education | Muskie School of Public Service | University of Southern Maine",94
"5569","Desiree Lawrence | University Health and Counseling Services | University of Southern Maine",94
"5570","Despite the pandemic, USM’s School of Music didn't miss a beat with spring 2020 performances | Office of Public Affairs | University of Southern Maine",94
"5571","Donald Wilkinson | TRIO Programs at USM | University of Southern Maine",94
"5572","Engineering Hiring Event | Career & Employment Hub | University of Southern Maine",94
"5573","FAQs - Advising in the College of Arts, Humanities, and Social Sciences (CAHS) | College of Arts, Humanities, and Social Sciences | University of Southern Maine",94
"5574","Nicholas Wise | Department of English | University of Southern Maine",94
"5575","Office Hours | College of Arts, Humanities, and Social Sciences | University of Southern Maine",94
"5576","Pamela Trempe | USM Foundation | University of Southern Maine",94
"5577","Patrick Hartnett | PhD in Public Policy | University of Southern Maine",94
"5578","Pink Floyd's ""Dark Side of the Moon"" Set List | Planetarium | University of Southern Maine",94
"5579","Prospective Student Information | USM Art Department | University of Southern Maine",94
"5580","Reference Checks | Campus Human Resources Services | University of Southern Maine",94
"5581","Special Interest Scholarships | Scholarships | University of Southern Maine",94
"5582","Student Centers | Student Activities & Involvement | University of Southern Maine",94
"5583","Student Conduct Committee | Community Standards and Mediation | University of Southern Maine",94
"5584","Student Resources | USM Libraries | University of Southern Maine",94
"5585","Student Work Photography | USM Art Department | University of Southern Maine",94
"5586","Thinking Matters | School of Social Work | University of Southern Maine",94
"5587","Title IX and Pregnant Students | Campus Safety Project | University of Southern Maine",94
"5588","USM Department of Theatre and School of Music collaborate to present ""Unlock’d"" by Maine native, Sam Carner | Office of Public Affairs | University of Southern Maine",94
"5589","USM hosts the region's largest job fair on Nov. 7 | Office of Public Affairs | University of Southern Maine",94
"5590","USM, UNH project awarded $60k NSF grant for climate change workshop | Office of Public Affairs | University of Southern Maine",94
"5591","Winnie Paulino M.A. | Department of Linguistics | University of Southern Maine",94
"5592","Winter Weather Closure for Monday, March 4, 2019 | Office of Public Affairs | University of Southern Maine",94
"5593","Astronomy a la Carte (Night Session) # 10: Black Holes and Time Warps | Planetarium | University of Southern Maine",93
"5594","Certificate in Foundations of Holistic Health | 2018-19 Catalogs | University of Southern Maine",93
"5595","Contact Us | School of Education and Human Development | University of Southern Maine",93
"5596","Contact Us | University Health and Counseling Services | University of Southern Maine",93
"5597","Educator Forum: Surviving the First Few Years | Professional Development Center | University of Southern Maine",93
"5598","Employment Quick Links | Campus Human Resources Services | University of Southern Maine",93
"5599","Faculty | Occupational Therapy | University of Southern Maine",93
"5600","Faculty Scholarship & Creative Activity | Research | University of Southern Maine",93
"5601","Farrah Taylor Giroux | Literacy Education | University of Southern Maine",93
"5602","Frequently Asked Questions DOT | Department of Technology | University of Southern Maine",93
"5603","Game Night | Recovery Oriented Campus Center | University of Southern Maine",93
"5604","Inauguration Scholars | Office of the President | University of Southern Maine",93
"5605","Jerry LaSala | Planetarium | University of Southern Maine",93
"5606","Judith Tupper | Muskie School of Public Service | University of Southern Maine",93
"5607","Laura Woods-Vachon | Cutler Institute | University of Southern Maine",93
"5608","Linguistics: General Linguistics Major | Department of Linguistics | University of Southern Maine",93
"5609","Lisa Walker Ph.D. | College of Arts, Humanities, and Social Sciences | University of Southern Maine",93
"5610","Philosophy and Writing Resources | Philosophy Department | University of Southern Maine",93
"5611","Reduced Tuition for Out-of-State Muskie MPH and MPPM Students | Muskie School of Public Service | University of Southern Maine",93
"5612","Resources for Current Graduate Assistants | Graduate Studies | University of Southern Maine",93
"5613","Rodney Mondor | Strengths @ USM | University of Southern Maine",93
"5614","SALUTE National Honor Society Induction Ceremony | Veterans Services | University of Southern Maine",93
"5615","Sarah Parker | USM Libraries | University of Southern Maine",93
"5616","Spring 2019 Course Materials Available Through eCampus | USM Bookstore | University of Southern Maine",93
"5617","STEM Expo at USM | College of Science, Technology, and Health | University of Southern Maine",93
"5618","The Aesthetic Afterlives of Slavery: Racial Surveillance and American Visual Culture | Department of English | University of Southern Maine",93
"5619","Tourism and Hospitality Articulation Agreements | Tourism and Hospitality | University of Southern Maine",93
"5620","USM MS.Ed. Candidate Is in Motion with Skillin Students | Extended Teacher Education Program (ETEP) | University of Southern Maine",93
"5621","USM Spring Community Dinner | Commuter Resources | University of Southern Maine",93
"5622","USM's Second Annual Sustainability Fair | Sustainability at USM | University of Southern Maine",93
"5623","Anneliese Pugh | Department of Biological Sciences | University of Southern Maine",92
"5624","BSW Listserv Information | School of Social Work | University of Southern Maine",92
"5625","Cameron Baxley | Sullivan Recreation and Fitness Complex | University of Southern Maine",92
"5626","Cohort Retention (First Year and Transfer) | Department of Analysis, Applications, and Institutional Research | University of Southern Maine",92
"5627","Communication and Media Studies 2019 Academic Film Showcase | Communication and Media Studies Department | University of Southern Maine",92
"5628","Contact Us | Communication and Media Studies Department | University of Southern Maine",92
"5629","Diane Newell | Department of Athletics | University of Southern Maine",92
"5630","Dr. Alfred Rizzi from Boston Dynamics to deliver public lecture on legged robotics | Department of Computer Science | University of Southern Maine",92
"5631","Editorial Style Guide for USM Publications | Office of Public Affairs | University of Southern Maine",92
"5632","FIRST Robotics Scholarship | Scholarships | University of Southern Maine",92
"5633","George Campbell Joins USM as New VP for Advancement, President and CEO of the USM Foundation | Office of Public Affairs | University of Southern Maine",92
"5634","Graduate Assistantships | Muskie School of Public Service | University of Southern Maine",92
"5635","iGrad Financial Literacy | Student Financial Services | University of Southern Maine",92
"5636","Justin Swift | Enrollment Management and Marketing | University of Southern Maine",92
"5637","Leia McDonnell | Office of Admissions | University of Southern Maine",92
"5638","Mary Holt | USM Libraries | University of Southern Maine",92
"5639","Max Robinson | Occupational Therapy | University of Southern Maine",92
"5640","MS in Educational Psychology (School Psychology Concentration) | Educational Psychology | University of Southern Maine",92
"5641","Muntaha Mohammed | Cutler Institute | University of Southern Maine",92
"5642","News | Geography-Anthropology | University of Southern Maine",92
"5643","News | School of Business | University of Southern Maine",92
"5644","Noted Architect and Planner, Nir Buras to speak at USM | Muskie School of Public Service | University of Southern Maine",92
"5645","Oral History Workshop with Oral Historian Molly Graham | Franco-American Collection | University of Southern Maine",92
"5646","People | LAC's Career Planning and Internship Advantage | University of Southern Maine",92
"5647","Portal to USM History | Special Collections | University of Southern Maine",92
"5648","Rachel Brown Ph.D., NCSP | Special Education | University of Southern Maine",92
"5649","Student Senate Application | Student Government Association | University of Southern Maine",92
"5650","Summer Session 1 (7 Weeks) | Academics | University of Southern Maine",92
"5651","UPDATED 9/23 -- information on Woodbury Campus Center closure | Office of Public Affairs | University of Southern Maine",92
"5652","USM Distinguished Professor | Office of the Provost | University of Southern Maine",92
"5653","USM's 17th Annual Outdoor Band Concert kicks off the fall season with favorites, visiting artists and more | Office of Public Affairs | University of Southern Maine",92
"5654","Videos of LAs in Action | Learning Assistants Program | University of Southern Maine",92
"5655","Yvonne Jonk, Ph.D | Cutler Institute | University of Southern Maine",92
"5656","28th Annual School of Music Scholarship Gala | School of Music | University of Southern Maine",91
"5657","Checksheets | Lewiston-Auburn College | University of Southern Maine",91
"5658","DOT Student Information for Success | Department of Technology | University of Southern Maine",91
"5659","EDU 521: Digital Literacies and Education | Literacy Education | University of Southern Maine",91
"5660","Eight Planets and Counting: full dome version | Planetarium | University of Southern Maine",91
"5661","Houses now available for rent next to USM | Office of Public Affairs | University of Southern Maine",91
"5662","Ian Swanberg | Finance and Administration | University of Southern Maine",91
"5663","Information Session for Adult and Transfer Students | Office of Admissions | University of Southern Maine",91
"5664","Institutional Information Policies and Procedures | Department of Analysis, Applications, and Institutional Research | University of Southern Maine",91
"5665","Jeffrey Beaudry | School of Education and Human Development | University of Southern Maine",91
"5666","Laura Kargul, continued | School of Music | University of Southern Maine",91
"5667","LOS Course Descriptions | 2018-19 Catalogs | University of Southern Maine",91
"5668","Malcolm Smith, continued | School of Music | University of Southern Maine",91
"5669","Mark Steege | School of Education and Human Development | University of Southern Maine",91
"5670","Marni Berger | Department of English | University of Southern Maine",91
"5671","Mary Anderson | Lewiston-Auburn College | University of Southern Maine",91
"5672","Matthew Edney | Muskie School of Public Service | University of Southern Maine",91
"5673","Office Hours | Student Diversity | University of Southern Maine",91
"5674","Paul Austin | PhD in Public Policy | University of Southern Maine",91
"5675","People | Phi Kappa Phi, Chapter #173 | University of Southern Maine",91
"5676","Sam Prosser | TRIO Programs at USM | University of Southern Maine",91
"5677","USM Chamber Singers | School of Music | University of Southern Maine",91
"5678","""Mapping the Classroom"" Exhibit Opening | Osher Map Library and Smith Center for Cartographic Education | University of Southern Maine",90
"5679","Advisor Notes | Advising | University of Southern Maine",90
"5680","Allyson Ryder | Leadership Studies | University of Southern Maine",90
"5681","Audition for Portland Youth Symphony Orchestras, Portland Youth Wind Ensemble, and Youth Choirs | School of Music | University of Southern Maine",90
"5682","Becca Worster | Facilities Management | University of Southern Maine",90
"5683","BS in Business Administration - Accounting Major | 2019-20 Catalogs | University of Southern Maine",90
"5684","Clara Jean Howard M.Sc., Ph.D. (c) | Literacy Education | University of Southern Maine",90
"5685","Community Lunch | Recovery Oriented Campus Center | University of Southern Maine",90
"5686","Computing Lab Policies | Computing Services | University of Southern Maine",90
"5687","Contact Us | Educational Leadership | University of Southern Maine",90
"5688","Emeriti Faculty 2016 | Office of the Provost | University of Southern Maine",90
"5689","Faculty | Department of Criminology | University of Southern Maine",90
"5690","Flynn Ross Ed.D. | School of Education and Human Development | University of Southern Maine",90
"5691","Graduate Faculty and Staff - Policies on Dual Degrees | Graduate Studies | University of Southern Maine",90
"5692","Huskapellas | School of Music | University of Southern Maine",90
"5693","Ilka Pinz Ph.D. | Department of Biological Sciences | University of Southern Maine",90
"5694","LAC Student Resource Hub | Lewiston-Auburn College | University of Southern Maine",90
"5695","Location and Hours | Special Collections | University of Southern Maine",90
"5696","Maine Rural Health Profiles: A Statewide View of Rural Health | Cutler Institute | University of Southern Maine",90
"5697","Nancy Griffin | University of Southern Maine Board of Visitors | University of Southern Maine",90
"5698","November 2013 Night Sky Calendar | Planetarium | University of Southern Maine",90
"5699","PHOTOGRAPHY & DIGITAL ART - Open Studios Spring 2020 | USM Art Department | University of Southern Maine",90
"5700","ScreenU | Recovery Oriented Campus Center | University of Southern Maine",90
"5701","Student Services | Students | University of Southern Maine",90
"5702","Tammalene Mitman | Cutler Institute | University of Southern Maine",90
"5703","The Joy of Learning | Academic Gains through Improved Learning Effectiveness (AGILE) | University of Southern Maine",90
"5704","The Year in News: Our Top Stories of 2018 | Office of Public Affairs | University of Southern Maine",90
"5705","Travel - History | Office of International Programs | University of Southern Maine",90
"5706","USM Art Department and Galleries announce 2019-2020 exhibitions and events | Office of Public Affairs | University of Southern Maine",90
"5707","USM NSSLHA - ASHA Chapter | Department of Linguistics | University of Southern Maine",90
"5708","USM's Flynn Ross joining Maine effort to address teacher shortage | Office of Public Affairs | University of Southern Maine",90
"5709","2019 Veterans Graduation Recognition Ceremony RSVP | Veterans Services | University of Southern Maine",89
"5710","Applying for Undergraduate Programs | Leadership Studies | University of Southern Maine",89
"5711","Brooke Burkett | Department of Recreation and Leisure Studies | University of Southern Maine",89
"5712","Casey E. Webster, J.D., CIP, CIPP/US | Office of Research Integrity and Outreach | University of Southern Maine",89
"5713","Common Read Book Request | USM Libraries | University of Southern Maine",89
"5714","Degrees & Certificates | Montessori Early Childhood Education | University of Southern Maine",89
"5715","Food Studies Administrative Newsletters | Food Studies Program | University of Southern Maine",89
"5716","Gloria S. Duclos Convocation: 2017 Convocation Scholars | Office of the President | University of Southern Maine",89
"5717","Housing and Dining | Campus Life | University of Southern Maine",89
"5718","In the Spotlight: Food Studies Professor Jamie Picardy | Food Studies Program | University of Southern Maine",89
"5719","Jason White | Lewiston-Auburn College | University of Southern Maine",89
"5720","Jessica M Picard CEFP | Facilities Management | University of Southern Maine",89
"5721","Karen Suhrhoff | Counselor Education | University of Southern Maine",89
"5722","L.L. Bean Lecture Series - History of Maine's Moosehead Lake Region w USM professors Libby Bischof and Nate Hamilton | Geography-Anthropology | University of Southern Maine",89
"5723","Laser Hypnotica Music Show | Planetarium | University of Southern Maine",89
"5724","Maps & Directions | USM Art Galleries Gorham and Portland | University of Southern Maine",89
"5725","Maps and Directions | Students | University of Southern Maine",89
"5726","Matt Skehan | Department of Recreation and Leisure Studies | University of Southern Maine",89
"5727","Monique Roy | Leadership Studies | University of Southern Maine",89
"5728","News | Department of Engineering | University of Southern Maine",89
"5729","Off-Campus Sites at Bath/Brunswick or Saco | Office of Academic Assessment | University of Southern Maine",89
"5730","Office Hours | Department of Physics | University of Southern Maine",89
"5731","Office Hours | TESOL: Teaching English to Speakers of Other Languages | University of Southern Maine",89
"5732","Portrait of a Partnership: USM and Martin’s Point Health Care | Office of Public Affairs | University of Southern Maine",89
"5733","Science Olympiad | Department of Environmental Science and Policy | University of Southern Maine",89
"5734","Softball Clinic | Athletic Department Sports Camps & Clinics | University of Southern Maine",89
"5735","Stuart Bratesman | Cutler Institute | University of Southern Maine",89
"5736","Workforce Development | Cutler Institute | University of Southern Maine",89
"5737","Youth Ensembles Choral Interest and Enrollment Form | School of Music | University of Southern Maine",89
"5738","Awards Event of the Year | Student Government Association | University of Southern Maine",88
"5739","Christine Maher Ph.D. | College of Science, Technology, and Health | University of Southern Maine",88
"5740","Christopher Massaro | Leadership Studies | University of Southern Maine",88
"5741","Experience USM: Nursing | Office of Admissions | University of Southern Maine",88
"5742","FACULTY: Reserve a Faculty Room | Learning Commons | University of Southern Maine",88
"5743","Glorianne Schott | Communication and Media Studies Department | University of Southern Maine",88
"5744","Janis Albright | Department of Recreation and Leisure Studies | University of Southern Maine",88
"5745","Lewiston Office Hours | School of Nursing | University of Southern Maine",88
"5746","Lewiston-Auburn Poutine Feast-ival | Franco-American Collection | University of Southern Maine",88
"5747","Member Resources | Classified Staff Senate | University of Southern Maine",88
"5748","MMG Insurance gives USM $50K to help a fast-growing Maine industry | Office of Public Affairs | University of Southern Maine",88
"5749","Muskie School - Lunch & Learn Research Hour | Muskie School of Public Service | University of Southern Maine",88
"5750","New article by USM WGS new faculty member, Heather Shattuck-Heidorn on ""Sex/Gender and the Biosocial Turn"" | Women and Gender Studies Program | University of Southern Maine",88
"5751","Portland police officer and USM School of Music alumnus goes viral with ""O Holy Night"" | Office of Public Affairs | University of Southern Maine",88
"5752","Replay: 'The USM Update,' October 2019 | Office of Public Affairs | University of Southern Maine",88
"5753","SAAC (Student Athlete Advisory Committee) | Department of Athletics | University of Southern Maine",88
"5754","Stephen Turner | Department of Chemistry | University of Southern Maine",88
"5755","The City of Portland and USM Offer Free Electronics Recycling | Office of Public Affairs | University of Southern Maine",88
"5756","UMS Payroll Forms Training | Campus Human Resources Services | University of Southern Maine",88
"5757","WIA Approved Professional Development Certificate Programs | Professional Development Programs | University of Southern Maine",88
"5758","""The Apollo astronauts collected rocks from the Moon and brought them back to Earth. But, I heard that pieces of the Moon, called lunar meteorites, were already here and are still here scattered around the planet. Is that true? How did they get here?"" | Planetarium | University of Southern Maine",87
"5759","2018 Special Commencement-related Events | Office of Public Affairs | University of Southern Maine",87
"5760","Awards Contribution to Campus Diversity | Student Government Association | University of Southern Maine",87
"5761","Brook Vail | Cutler Institute | University of Southern Maine",87
"5762","Carrie Bell-Hoerth | USM Libraries | University of Southern Maine",87
"5763","Certificate of Graduate Study in Response to Intervention: Behavior | 2013-14 Catalogs | University of Southern Maine",87
"5764","Contact Us | Department of Computer Science | University of Southern Maine",87
"5765","Creative Nonfiction Faculty | Stonecoast MFA in Creative Writing | University of Southern Maine",87
"5766","Day Courses | Planetarium | University of Southern Maine",87
"5767","Dr. Harlan Philippi Memorial Scholarship | Scholarships | University of Southern Maine",87
"5768","EDU 512: Teaching Literature in Grades K-12 | Literacy Education | University of Southern Maine",87
"5769","EDU 671: Organizational Behavior | Educational Leadership | University of Southern Maine",87
"5770","Erin Arneson | Cutler Institute | University of Southern Maine",87
"5771","Exit Paper Guidelines | College of Arts, Humanities, and Social Sciences | University of Southern Maine",87
"5772","FERPA Release | Disability Services Center | University of Southern Maine",87
"5773","Flynn Ross Ed.D. | Undergraduate Teacher Education | University of Southern Maine",87
"5774","Food Studies Interns: Leaders in Training | Food Studies Program | University of Southern Maine",87
"5775","Franco-America at the Interstice of Identities: Ernest Hébert | Franco-American Collection | University of Southern Maine",87
"5776","Kurt Stokes | Research Service Center | University of Southern Maine",87
"5777","MyEbscoHost - Tutorial | USM Libraries | University of Southern Maine",87
"5778","Newsletter | Russell Scholars Program | University of Southern Maine",87
"5779","Office Hours | Economics | University of Southern Maine",87
"5780","Office Hours | Office of Public Affairs | University of Southern Maine",87
"5781","Other Training Opportunities | University Health and Counseling Services | University of Southern Maine",87
"5782","Our Mission | Social and Behavioral Sciences | University of Southern Maine",87
"5783","Program Facts | Stonecoast MFA in Creative Writing | University of Southern Maine",87
"5784","Project People | Title III Grant | University of Southern Maine",87
"5785","Robin McGlauflin | Computing Services | University of Southern Maine",87
"5786","Sixth Annual Stroke Conference | Conference Services | University of Southern Maine",87
"5787","Spring Break Closing Notice for Current Residential Students | Office of Residential Life | University of Southern Maine",87
"5788","Steve Thaxton | Adult and Higher Education | University of Southern Maine",87
"5789","Sue Schier | Osher Lifelong Learning Institute | University of Southern Maine",87
"5790","Trauma Informed Care Training | Recovery Oriented Campus Center | University of Southern Maine",87
"5791","USM Computer Science Industrial Advisory Board | Department of Computer Science | University of Southern Maine",87
"5792","USM Division Organization Chart | Campus Human Resources Services | University of Southern Maine",87
"5793","USM Receives EPA National Award, Installs Solar Panels and Hosts Earth Week Events | Office of Public Affairs | University of Southern Maine",87
"5794","USM Statistics graduate student, Solomon Nkhalamba, Shares Professional Development Activity in Malawi | Department of Mathematics and Statistics | University of Southern Maine",87
"5795","USM Student Exchange | Office of International Programs | University of Southern Maine",87
"5796","Amy Richardson | Department of Linguistics | University of Southern Maine",86
"5797","Anila Karunakar | Student Diversity | University of Southern Maine",86
"5798","Annie Spencer | Economics | University of Southern Maine",86
"5799","Awards Student Organization | Student Government Association | University of Southern Maine",86
"5800","Community Career Events | Career & Employment Hub | University of Southern Maine",86
"5801","Could USM's Olivia Mayo be the next Miss America? | Office of Public Affairs | University of Southern Maine",86
"5802","CTEL Technology Enhanced Learning (TEL) Grants | Center for Technology Enhanced Learning | University of Southern Maine",86
"5803","Dana Fisher: American Resistance | Women and Gender Studies Program | University of Southern Maine",86
"5804","Daniel P. Martin | Department of Engineering | University of Southern Maine",86
"5805","Degree Planning 2018-2019 - Majors that can be Combined with Education | Advising | University of Southern Maine",86
"5806","Emeriti Faculty & Staff 2014 | Office of the Provost | University of Southern Maine",86
"5807","Graduate Program in Public Health Program Statement | Public Health | University of Southern Maine",86
"5808","Joseph McDonnell Ph.D. | Confucius Institute | University of Southern Maine",86
"5809","Minutes | Student Government Association | University of Southern Maine",86
"5810","MPPM Advisory Board | Policy, Planning, and Management | University of Southern Maine",86
"5811","My Profile | University of Southern Maine Photo Library",86
"5812","NAMI (National Alliance on Mental Illness) | Recovery Oriented Campus Center | University of Southern Maine",86
"5813","News | USM Public Safety | University of Southern Maine",86
"5814","Office Hours | Quality Control Collaboratory | University of Southern Maine",86
"5815","Optional Practical Training | Office of International Programs | University of Southern Maine",86
"5816","Richard Bilodeau | Food Studies Program | University of Southern Maine",86
"5817","Scholastic Writing Awards of Maine | Literacy Education | University of Southern Maine",86
"5818","Sharon Watterson | College of Science, Technology, and Health | University of Southern Maine",86
"5819","Sojourn Saturday - Cosmic Dance | Planetarium | University of Southern Maine",86
"5820","Student leader Hamdia Ahmed's journey featured in the Portland Press Herald | Office of Public Affairs | University of Southern Maine",86
"5821","Student-Employee Pay Guidance | Campus Human Resources Services | University of Southern Maine",86
"5822","Susie Bock | Special Collections | University of Southern Maine",86
"5823","Travel Courses Information | Office of International Programs | University of Southern Maine",86
"5824","TRIO Upward Bound Interest/Recommendation Form | TRIO Programs at USM | University of Southern Maine",86
"5825","Wendy Wood | Computing Services | University of Southern Maine",86
"5826","CTEL Drop-In Sessions: March 13-20, 2020 | Center for Technology Enhanced Learning | University of Southern Maine",85
"5827","CTEL: Engaging Your Learner | Center for Collaboration and Development | University of Southern Maine",85
"5828","Diandra Berthiaume | Office of Admissions | University of Southern Maine",85
"5829","Donald E. Nicoll / Edmund S. Muskie School of Public Policy Board of Visitors Scholarship | Scholarships | University of Southern Maine",85
"5830","Emergency Notifications via Text/E-mail | Osher Lifelong Learning Institute | University of Southern Maine",85
"5831","Emmanuel Kayembe | Franco-American Collection | University of Southern Maine",85
"5832","Faculty | Sociology | University of Southern Maine",85
"5833","Gift Mngqibisa | Computing Services | University of Southern Maine",85
"5834","Graduate Assistant of the Year Awards | Graduate Studies | University of Southern Maine",85
"5835","Helen Stringfellow | USM Art Department | University of Southern Maine",85
"5836","Involvement Coaching | Student Activities & Involvement | University of Southern Maine",85
"5837","Jamie Pratt Psy.D., BCBA-D | School of Education and Human Development | University of Southern Maine",85
"5838","Janet Nelson | School of Business | University of Southern Maine",85
"5839","Kristine Biegel | Department of Recreation and Leisure Studies | University of Southern Maine",85
"5840","Learning Commons Survey | USM Libraries | University of Southern Maine",85
"5841","Lucille Benedict Ph.D. | Quality Control Collaboratory | University of Southern Maine",85
"5842","Madeline D. Giguere Scholarship | Scholarships | University of Southern Maine",85
"5843","Mark Delisle | Maine Small Business Development Centers | University of Southern Maine",85
"5844","MCBER's Services | Maine Center for Business and Economic Research | University of Southern Maine",85
"5845","Miami Salsa Dancing Lessons | Student Activities & Involvement | University of Southern Maine",85
"5846","Music Education Spring Workshop: Navigating the Challenges | School of Music | University of Southern Maine",85
"5847","News Flush Event Spotlight | Student Activities & Involvement | University of Southern Maine",85
"5848","Policies | Property Management | University of Southern Maine",85
"5849","Presidential Event Request | Office of the President | University of Southern Maine",85
"5850","RSVP for In-Person FAST Training by eCampus | USM Bookstore | University of Southern Maine",85
"5851","Services | Geographic Information Systems | University of Southern Maine",85
"5852","The LAC Counseling Center Hours | University Health and Counseling Services | University of Southern Maine",85
"5853","USM Residence Hall Contract Terms and Conditions 2018/2019 | Office of Residential Life | University of Southern Maine",85
"5854","Video: A partnership between USM and Iceland universities | Office of Admissions | University of Southern Maine",85
"5855","2017 Featured Graduates | Commencement | University of Southern Maine",84
"5856","A.Nye Bemis Memorial Scholarship | Scholarships | University of Southern Maine",84
